Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
REGN,987.61,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer ,Phase 1,02/28/2024,"Phase 1 initial safety data reported that in the monotherapy dose escalation arm, 13/16 patients (81%) experienced at least one treatment-emergent adverse event (TEAE), with the majority of adverse events (AEs) Grade 1 or 2. In the combination dose escalation arm, 10/17 patients (59%) experienced at least one TEAE, with the majority of AEs Grade 1 or 2, noted February 28, 2024. read less",105.0
VANI,3.74,NPM-115 (exenatide implant) - (LIBERATE-1),Subdermal implants in development for chronic weight management ,Preclinical,02/28/2024,"Preclinical data showed that implant generated significant weight loss comparable to injectable semaglutide (Ozempic/Wegovy) from a single administration with expected twice-yearly dosing, noted February 28, 2024. read less",59.0
AVIR,4.37,Bemnifosbuvir and ruzasvir (RZR) - (C-FORWARD),Hepatitis C Virus (HCV) ,Phase 2,02/28/2024,"Phase 2 final data from the 60-patient lead-in cohort reported that the SVR4 rate exceeded the protocol-defined efficacy criterion of ≥90% SVR4 for continuing the study, noted February 28, 2024.",79.0
BLRX,1.32,"Motixafortide (BL-8040), gemcitabine, nab-paclitaxel and LIBTAYO (cemiplimab) - (Columbia University trial) - (CheMo4METPANC)",First-line pancreatic ductal adenocarcinoma (PDAC) ,Phase 2,02/28/2024,"Phase 2 trial initiated, noted February 28, 2024.",3.0
KANT,—,KVA12123 with KEYTRUDA (pembrolizumab) - (VISTA-101),Solid tumors ,Phase 1/2,02/29/2024,"Phase 1/2 initial data reported a partial Response in 1 patient with a PD-L1 negative mucoepidermoid carcinoma and a 54% reduction in target lesions and a complete response in non-target lesions, noted March 12, 2024. Phase 1/2 new enrollment terminated, noted February 29, 2024. read less",13.0
IMUX,1.47,IMU-838 - (CALLIPER),Progressive Multiple Sclerosis ,Phase 2,02/29/2024,"Phase 2 interim data presented at ACTRIMS reported that serum NfL was decreased in the treatment group by 22.4%, noted February 29, 2024.",98.0
IMUX,1.47,IMU-838 - (CALVID-1),COVID-19 ,Phase 2,02/29/2024,"Additional Phase 2 data reported that 80% of patients who received placebo reported fatigue, compared to 50% who received 45 mg vidofludimus calcium, noted February 29, 2024.",98.0
IRWD,9.43,Apraglutide - (STARS),Short Bowel Syndrome with Intestinal Failure (SBS-IF) ,Phase 3,02/29/2024,"Phase 3 top-line data reported that the trial met its primary endpoint, however two key secondary endpoints were specific to colon-in-continuity patients in assessing at least one day/week off PS versus baseline and reaching enteral autonomy at week 48, both of which were not achieved, noted February 29, 2024. read less",162.0
CLNN,8.05,CNM-Au8 - (VISIONARY-MS),Multiple Sclerosis ,Phase 2,02/29/2024,"Phase 2 full clinical results presented at ACTRIMS Forum reported that treatment demonstrated significant improvement of vision as measured by low contrast letter acuity (LCLA) through 35 months from randomization, noted February 29, 2024. read less",9.0
IMNN,1.14,IMNN-101 - (IMUNON),SARS-CoV-2 variant XBB.1.5 ,Preclinical,02/29/2024,"Challenge study data reported that a single dose produced IgG neutralizing antibody and T-cell responses, noted February 29, 2024.",2.0
CUE,2.08,CUE-101 and KEYTRUDA (pembrolizumab) - (KEYNOTE-A78),HPV16+ head and neck cancer ,Phase 1,02/29/2024,"Phase 1 data reported from the Multi-disciplinary Head and Neck Cancers Symposium that overall response rate (ORR) of 47% in first line (1L) patients treated with CUE-101 and pembrolizumab, compared to the historical ORR of 19% reported in the KEYNOTE-48 trial, noted February 29, 2024. read less",76.0
CRDF,1.77,"Onvansertib, FOLFIRI and AVASTIN (bevacizumab) - (ONSEMBLE)",KRAS-Mutated Colorectal Cancer ,Phase 2,02/29/2024,"Phase 2 data reported a 50% ORR rate in Bev Naive patients and 0% ORR in Bev Exposed patients, noted February 29, 2024.",66.0
TGTX,17.22,BRIUMVI (ublituximab-xiiy) - (ENHANCE),Relapsing forms of Multiple Sclerosis (RMS) ,Phase 3,02/29/2024,"Phase 3b data presented at ACTRIMS reported that 18 (86%) of participants completed the infusion without interruption or slowing, with a median infusion duration of 60 min, noted February 29, 2024.",158.0
RYTM,43.42,Setmelanotide - (DAYBREAK),Variants in one of 31 additional genes with MC4R pathway relevance ,Phase 2,02/29/2024,"Phase 2 data showed that nearly 97% of followed patients were relapse-free at 90 days post Zeposia discontinuation; patients that did relapse showed no evidence of rebound effect, noted February 29, 2024. read less",66.0
ATRA,19.45,ATA3219,"B-cell non-Hodgkin's lymphoma (NHL), Lupus Nephritis ",IND-Enabling,02/29/2024,"IND cleared by the FDA, noted February 29, 2024",7.0
CGEM,18.51,CLN-619 - (MICB),Relapsed or Refractory Multiple Myeloma ,IND-Enabling,03/01/2024,"IND Clearaed by the FDA, noted March 1, 2024.",59.0
BIVI,1.89,NE3107,Parkinson's disease ,Phase 2a,03/01/2024,"Additional Phase 2a data reported significant improvement of -2.4 points for the sleep/fatigue domain of the Non-Motor Symptom Scale (NMSS) in Parkinson's Disease, whereas placebo patients experienced a worsening of +1.0 points, noted March 1, 2024 read less",7.0
BIVI,1.89,NE3107,Alzheimer’s disease ,Phase 3,03/01/2024,"Additional Phase 3 data reported that due to the exclusion of data from so many sites the trial missed statistical significance but showed promising directional data on cognitive and functional measures. NE3107-treated patients saw an advantage compared to placebo of -0.95 (68% slowing of decline) on CDR-SB, -0.94 (26%) on ADAS-COG-12, -0.43 (139%) on ADAS-CGIC, -0.03 (27%) on ADCOMS, +1.02 (40%) on MMSE, and +3.08 (47%) on ADCS-ADL, noted March 1, 2024. read less",7.0
KRBP,2.36,Deltacel-01 - (KB-GDT-01),Stage 4 Metastatic Non-Small Cell Lung Cancer ,Phase 1,03/01/2024,"Phase 1 third patient enrolled completed treatment, noted March 1, 2024",1.0
LEXX,2.92,HYPER-H23-1 (DehydraTECH-CBD),Hypertension ,IND-Enabling,03/01/2024,"IND Cleared by the FDA, noted March 1, 2024",19.0
SLS,1,Tambiciclib (SLS009) (GFH009) with venetoclax,"Hematologic malignancies, acute myeloid leukemia (AML), chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL) and lymphoma ",Phase 1,03/01/2024,"Phase 1 dose-escalation topline data for the heavily pretreated AML patients showed evidence of anti-tumor activity increasing with higher dose levels and no significant safety issues. Treatment with SLS009 resulted in a complete remission (CR) with no minimal residual disease (MRD) after three cycles as a monotherapy in an AML patient who had failed prior venetoclax plus azacytidine (aza/ven) therapy. The CR lasted eight months with the patient achieving one year survival at the latest assessment. This is the first time that a relapsed/refractory (r/r) AML patient achieved a CR with CDK9 inhibition monotherapy. Notably, the median survival for patients relapsed after aza/ven therapy is approximately 2.5 months. All key study objectives were met regarding pharmacokinetic (PK), pharmacodynamic (PD), safety, and clinical activity, noted March 1, 2024. read less",105.0
JNJ,160.8,RYBREVANT (amivantamab) - (PAPILLON),Non-small cell lung cancer ,Approved,03/01/2024,"FDA approved on March 1, 2024.",
WHWK,—,Nab-sirolimus - (AMPECT),Malignant PEComa (Perivascular epithelioid cell tumour) ,Phase 2,03/01/2024,"Phase 2 long-term efficacy and safety results demonstrated 40 months median duration of response and median survival >53 months, noted March 1, 2024.",47.0
RNA,18.86,Delpacibart etedesiran (del-desiran) - (MARINA-OLE),Myotonic dystrophy type 1 (DM1) ,Phase 2,03/04/2024,"Phase 2 preliminary data anticipated at the MDA conference showed reversal of disease progression in multiple functional measures, noted March 4, 2024.",128.0
NVO,—,Efruxifermin - (HARMONY),Nonalcoholic Steatohepatitis ,Phase 2b,03/04/2024,"Phase 2b 96-week results reported that the 50mg (75%, p<0.001) and 28mg (46%, p=0.07) EFX groups demonstrated ≥1 stage improvement in fibrosis without worsening of MASH, approximately three- and two-fold the placebo rate (24%), noted March 4, 2024. read less",
AKRO,31.07,Efruxifermin - (HARMONY),Nonalcoholic Steatohepatitis ,Phase 2b,03/04/2024,"Phase 2b 96-week results reported that the 50mg (75%, p<0.001) and 28mg (46%, p=0.07) EFX groups demonstrated ≥1 stage improvement in fibrosis without worsening of MASH, approximately three- and two-fold the placebo rate (24%), noted March 4, 2024. read less",79.0
CLRB,4.24,CLR 131 (iopofosine) in combination with external beam radiation (EBRT),Head & neck cancer ,Phase 1,03/04/2024,"Phase 1 data reported the complete remission was achieved in 64% of patients, with an ORR of 73%, noted March 4, 2024.",3.0
NVS,98.29,Zolgensma (onasemnogene abeparvovec) - (SMART),Spinal muscular atrophy (SMA) ,Phase 3,03/04/2024,"Phase 3b data reported that nearly all patients treated maintained or improved motor milestones after 52 weeks, with most switching to the one-time gene therapy from another chronically administered disease-modifying therapy, noted March 4, 2024. read less",
INDP,2.36,Decoy-20 - (INDP-D101),Advanced/metastatic solid tumors ,Phase 1,03/04/2024,"Phase 1 data following completion of second cohort trial of Decoy 20 leads the independent Safety Review Committee to recommend initiating a multi-dosing cohort, noted March 4, 2024. Single dose cohort data expected to be published at a scientific conference in 2024 read less",1.0
BCDA,6.83,CardiAMP (BCDA-01),Ischemic Heart Failure ,Phase 3,03/04/2024,"Phase 3 data reported that patients had 37% relative risk reduction in heart death equivalent and 9% relative risk reduction in non-fatal major adverse cardiac and cerebrovascular events (MACCE) at mean 20-month follow-up compared to control patients on guideline-directed heart medications alone, noted March 4, 2024. read less",5.0
VTVT,14.01,Cadisegliatin (TTP399),Type 1 Diabetes ,Phase 3,03/04/2024,"Phase 3 announced the submission of the study protocol to the FDA to initiate the trial, noted March 4, 2024.",3.0
LNTH,65.36,DEFINITY (Perflutren Lipid Microsphere),Ultrasound enhancing agent for use in pediatric patients with suboptimal echocardiograms ,Approved,03/04/2024,"FDA approved on March 4, 2024.",67.0
MTEM,3.85,MT-6402,Solid tumors ,Phase 1,03/04/2024,"Phase 1 dose-escalation data showed that treatment appears generally well-tolerated at the 63 and 83 mcg/kg doses with no Grade 4 or Grade 5 adverse events and no instances of CLS seen at any dose, noted March 4, 2024. read less",6.0
NRXP,5.2,NRX-101,Bipolar Depression and Suicidal Ideation ,Phase 2/3,03/04/2024,"Phase 2/3 last patient dosed, noted March 4, 2024.",19.0
PCVX,71.55,VAX-24,Pneumococcal Disease in infants ,Phase 2,03/04/2024,"Phase 2 enrollment completed, noted March 4, 2024.",129.0
BCDA,6.83,Allogeneic CardiALLO,Heart failure ,Phase 1/2,03/04/2024,"Data presented at the Technology and Heart Failure Therapeutics Conference (THT) reported that first patient has been enrolled and treated in the low dose group and is doing well clinically, noted March 4, 2024. read less",5.0
GSK,42.09,"Cabenuva (cabotegravir, rilpivirine) - (CAB-ULA)",HIV treatment and prevention dosed at intervals of at least four months ,Phase 1,03/04/2024,"Phase 1 data show for the first time a new ultra-long-acting cabotegravir formulation (CAB-ULA) that doubles the current dosing interval, noted March 4, 2024.",
PFE,25.51,"Cabenuva (cabotegravir, rilpivirine) - (CAB-ULA)",HIV treatment and prevention dosed at intervals of at least four months ,Phase 1,03/04/2024,"Phase 1 data show for the first time a new ultra-long-acting cabotegravir formulation (CAB-ULA) that doubles the current dosing interval, noted March 4, 2024.",
APGE,59.3,APG777 - (APEX),"Healthy volunteers, Atopic dermatitis (AD) ",Phase 1,03/05/2024,"Phase 1 interim data reported a half-life of approximately 75 days across doses tested and Pharmacodynamic (PD) data showed deep and sustained inhibition of key AD biomarkers pSTAT6 and TARC for ~3 months, noted March 5, 2024. read less",59.0
GSK,42.25,Cabotegravir ultra long-acting (CAB-ULA) - (4 month dosing),HIV ,Phase 1,03/05/2024,"Phase 1 data reported that intramuscular dosing of CAB-ULA has a safety and pharmacokinetic (PK) profile that supports a longer dose interval, noted March 5, 2024.",
NVO,123.76,Semaglutide - (FLOW),Renal impairment in people with type 2 diabetes and chronic kidney disease (CKD) ,Phase 3,03/05/2024,"Phase 3 trial stopped early due to efficacy, based on a recommendation from an Independent Data Monitoring Committee. The trial achieved its primary endpoint by demonstrating a statistically significant and superior reduction in kidney disease progression, major adverse cardiovascular events (MACE) and death of 24% for people treated with semaglutide 1.0 mg compared to placebo, noted March 5, 2024. read less",
CASI,5.66,BI-1206 with rituximab - (China trial),Non-Hodgkin's Lymphoma (NHL) ,Phase 1,03/05/2024,"Phase 1 initial data showed promising responses including a long-lasting complete response for patients with difficult-to-treat disease, noted March 5, 2024.",15.0
MNPR,1.06,MNPR-101-Zr (uPAR),Solid tumors ,Preclinical,03/05/2024,"Addtional preclinical data demonstrated highly preferential uptake in the tumor. The new imaging data released today support the tumor-targeting ability of MNPR-101, noted March 5, 2024.",6.0
ALNY,149.68,Zilebesiran - (KARDIA-2),Hypertension ,Phase 2,03/05/2024,"Phase 2 trial met the primary endpoint, noted March 5, 2024.",131.0
RGNX,24.61,RGX-202 - (AFFINITY DUCHENNE),Duchenne Muscular Dystrophy (DMD) ,Phase 1/2,03/05/2024,"Phase 1/2 new three-month assessment in first patient at dose level 2 demonstrates robust microdystrophin expression. Patient aged 12 years at dosing had expression level at 75.7% of control, noted March 5, 2024. read less",50.0
CRVO,13,Neflamapimod - (AscenD-LB),Dementia with Lewy bodies (DLB) ,Phase 2a,03/05/2024,"Phase 2a data presented at AD/PD reported that there was a mean 3.7 pg/mL increase GFAP levels in placebo vs. mean 12.3 pg/mL reduction with neflamapimod, noted March 5, 2024.",9.0
GANX,4.66,"GT-02287, GT-02329",GBA1 and Idiopathic Parkinson's Disease ,Preclinical,03/05/2024,"Preclinical data presented at AD/PD reported that GT-02287, through its interaction with glucocerebrosidase (GCase) in the endoplasmic reticulum (ER), aids correct GCase folding, preventing ER retention, ER stress, and ER-associated degradation of mutated GCase enzyme, noted March 5, 2024. read less",35.0
IMMP,2.61,Eftilagimod Alpha with weekly paclitaxel - (AIPAC-003),Metastatic breast cancer (MBC) ,Phase 2/3,03/05/2024,"Phase 2/3 90mg data reported a 50% overall response rate, including one complete response and two partial responses, and a 100% disease control rate overall, noted March 5, 2024.",145.0
LLY,776.31,Rezpegaldesleukin (LY3471851) - (REZOLVE-AA),Severe to very severe alopecia areata (AA) ,Phase 2b,03/05/2024,https://www.biopharmcatalyst.com/company/NKTR/news/189917,946.0
NKTR,0.88,Rezpegaldesleukin (LY3471851) - (REZOLVE-AA),Severe to very severe alopecia areata (AA) ,Phase 2b,03/05/2024,https://www.biopharmcatalyst.com/company/NKTR/news/189917,19.0
ONCY,1.03,mFOLFIRINOX +/- atezolizumab and pelareorep - (PanCAN),Pancreatic Ductal Adenocarcinoma (PDAC) ,Phase 1/2,03/05/2024,"Company submitted an amendment to GOBLET to initiate a new Phase 1/2 cohort, noted March 5, 2024.",100.0
LIPO,0.81,LP-410,Graft-Versus-Host Disease (GVHD) ,IND-Enabling,03/05/2024,"IND cleared by the FDA noted, March 5, 2024.",4.0
IBRX,4.82,Anktiva (N-803),HIV ,Phase 1,03/05/2024,"Phase 1 pilot study experienced a marked decrease in the burden of infection, and the procedures were found to be safe and well tolerated, noted March 5, 2024.",945.0
OPK,0.93,SAR441236,human immunodeficiency virus (HIV) ,Phase 1,03/05/2024,"Phase 1 study delivers first clinical safety and pharmacokinetic data as proof of concept for the use of multispecific antibodies in humans, noted March 5, 2024.",793.0
GILD,71.4,Bictegravir and Lenacapavir - (ARTISTRY-1),HIV ,Phase 2/3,03/05/2024,"Phase 2/3 data reported that all three treatment groups had robust virologic suppression at six months, with consistently low viral loads throughout the study, noted March 5, 2024.",
NVS,98.42,Wyost (denosumab-bddz) and Jubbonti (denosumab-bddz) interchangeable,multiple myeloma and in patients with bone metastases from solid tumors ,Approved,03/05/2024,"FDA biosimilar of Xgeva (denosumab) and Prolia (denosumab) approved on March 5, 2024.",
BTAI,2.96,BXCL501 - (SERENITY III),Agitation associated with bipolar I or II disorder or schizophrenia ,Phase 3,03/06/2024,"A Type C meeting with FDA feedback resulted in an amended Phase 3 trial planned for the at-home setting, noted March 6, 2024.",14.0
VNDA,3.91,HETLIOZ (tasimelteon),Insomnia ,CRL,03/06/2024,"CRL issued by FDA on March 6, 2024.",59.0
